지점,지점명,일시,기온(°C),강수량(mm),습도(%),적설(cm)
119,수원,2025-06-06 14:00,28.6,,29,
119,수원,2025-06-06 15:00,28,,30,
119,수원,2025-06-06 16:00,28.1,,30,
119,수원,2025-06-06 17:00,27.6,,36,
119,수원,2025-06-06 18:00,26.5,,37,
119,수원,2025-06-06 19:00,25.6,,36,
119,수원,2025-06-06 20:00,23.9,,40,
119,수원,2025-06-06 21:00,22.5,,44,
119,수원,2025-06-06 22:00,22,,46,
119,수원,2025-06-06 23:00,21.8,,47,
119,수원,2025-06-07 00:00,21.5,,47,
119,수원,2025-06-07 01:00,19.6,,56,
119,수원,2025-06-07 02:00,18.4,,62,
119,수원,2025-06-07 03:00,17.5,,66,
119,수원,2025-06-07 04:00,17,,70,
119,수원,2025-06-07 05:00,16.7,,69,
119,수원,2025-06-07 06:00,17.6,,67,
119,수원,2025-06-07 07:00,20.3,,58,
119,수원,2025-06-07 08:00,22.9,,53,
119,수원,2025-06-07 09:00,23.5,,54,
119,수원,2025-06-07 10:00,24.9,,52,
119,수원,2025-06-07 11:00,26.1,,53,
119,수원,2025-06-07 12:00,26.7,,51,
119,수원,2025-06-07 13:00,27.1,,53,
119,수원,2025-06-07 14:00,27.8,,51,
119,수원,2025-06-07 15:00,27.5,,52,
119,수원,2025-06-07 16:00,26.4,,61,
119,수원,2025-06-07 17:00,26.1,,61,
119,수원,2025-06-07 18:00,25.4,,63,
119,수원,2025-06-07 19:00,24.2,,70,
119,수원,2025-06-07 20:00,22.9,,75,
119,수원,2025-06-07 21:00,22.1,,79,
119,수원,2025-06-07 22:00,21.5,,83,
119,수원,2025-06-07 23:00,21.6,,84,
119,수원,2025-06-08 00:00,21.1,,85,
119,수원,2025-06-08 01:00,20.3,.1,92,
119,수원,2025-06-08 02:00,20.2,.2,94,
119,수원,2025-06-08 03:00,20.3,0,93,
119,수원,2025-06-08 04:00,20.4,,92,
119,수원,2025-06-08 05:00,20.3,,93,
119,수원,2025-06-08 06:00,20.2,,93,
119,수원,2025-06-08 07:00,21.1,,90,
119,수원,2025-06-08 08:00,23,,79,
119,수원,2025-06-08 09:00,23.7,,76,
119,수원,2025-06-08 10:00,24.8,,69,
119,수원,2025-06-08 11:00,26.1,,61,
119,수원,2025-06-08 12:00,27.5,,57,
119,수원,2025-06-08 13:00,27.8,,55,
119,수원,2025-06-08 14:00,28.3,,54,
119,수원,2025-06-08 15:00,29,,53,
119,수원,2025-06-08 16:00,28,,57,
119,수원,2025-06-08 17:00,27.7,,60,
119,수원,2025-06-08 18:00,26.3,,64,
119,수원,2025-06-08 19:00,25.3,,67,
119,수원,2025-06-08 20:00,23.5,,74,
119,수원,2025-06-08 21:00,22.4,,79,
119,수원,2025-06-08 22:00,21.6,,83,
119,수원,2025-06-08 23:00,21.6,,85,
119,수원,2025-06-09 00:00,22,,83,
119,수원,2025-06-09 01:00,21.7,0,83,
119,수원,2025-06-09 02:00,20.9,0,83,
119,수원,2025-06-09 03:00,20.8,,81,
119,수원,2025-06-09 04:00,20.6,,81,
119,수원,2025-06-09 05:00,20.5,,81,
119,수원,2025-06-09 06:00,20.4,,82,
119,수원,2025-06-09 07:00,21.1,,78,
119,수원,2025-06-09 08:00,22.2,,75,
119,수원,2025-06-09 09:00,23.3,,70,
119,수원,2025-06-09 10:00,23.6,,66,
119,수원,2025-06-09 11:00,25.1,,60,
